round,client_id,shapley_value,model_accuracy
10,4,-0.002222757955641273,0.8326904532304725
10,5,-0.005424300867888138,0.8326904532304725
10,6,0.00406943105110897,0.8326904532304725
10,7,0.0029604628736740572,0.8326904532304725
10,8,0.0011427193828351017,0.8326904532304725
10,9,0.00844985535197686,0.8326904532304725
10,10,0.004023625843780139,0.8326904532304725
10,11,0.004317743490838961,0.8326904532304725
10,12,-0.006104146576663456,0.8326904532304725
10,13,0.004766152362584378,0.8326904532304725
10,14,-0.015424300867888128,0.8326904532304725
10,15,-0.0021600771456123445,0.8326904532304725
10,16,0.0012270973963355854,0.8326904532304725
10,17,0.0013404050144648003,0.8326904532304725
10,18,0.00015188042430086646,0.8326904532304725
10,19,0.008317261330761811,0.8326904532304725
10,20,0.004076663452266148,0.8326904532304725
10,21,0.006634522661523631,0.8326904532304725
10,22,-0.0012487945998071331,0.8326904532304725
10,23,0.003013500482160077,0.8326904532304725
10,24,0.0029942140790742556,0.8326904532304725
10,25,-0.0022999035679845724,0.8326904532304725
10,26,0.0004339440694310539,0.8326904532304725
10,27,0.0031485053037608466,0.8326904532304725
10,28,0.006808100289296043,0.8326904532304725
10,29,-0.0011692381870781073,0.8326904532304725
10,30,-0.003565573770491799,0.8326904532304725
11,1,0.0,0.8326904532304725
11,2,0.0,0.8326904532304725
11,3,0.0,0.8326904532304725
11,4,0.0,0.8326904532304725
11,5,0.0,0.8326904532304725
11,6,0.0,0.8326904532304725
11,7,0.0,0.8326904532304725
11,8,0.0,0.8326904532304725
11,9,0.0,0.8326904532304725
11,10,0.0,0.8326904532304725
11,11,0.0,0.8326904532304725
11,12,0.0,0.8326904532304725
11,13,0.0,0.8326904532304725
11,14,0.0,0.8326904532304725
11,15,0.0,0.8326904532304725
11,16,0.0,0.8326904532304725
11,17,0.0,0.8326904532304725
11,18,0.0,0.8326904532304725
11,19,0.0,0.8326904532304725
11,20,0.0,0.8326904532304725
11,21,0.0,0.8326904532304725
11,22,0.0,0.8326904532304725
11,23,0.0,0.8326904532304725
11,24,0.0,0.8326904532304725
11,25,0.0,0.8326904532304725
11,26,0.0,0.8326904532304725
11,27,0.0,0.8326904532304725
11,28,0.0,0.8326904532304725
11,29,0.0,0.8326904532304725
11,30,0.0,0.8326904532304725
12,1,0.0,0.8326904532304725
12,2,0.0,0.8326904532304725
12,3,0.0,0.8326904532304725
12,4,0.0,0.8326904532304725
12,5,0.0,0.8326904532304725
12,6,0.0,0.8326904532304725
12,7,0.0,0.8326904532304725
12,8,0.0,0.8326904532304725
12,9,0.0,0.8326904532304725
12,10,0.0,0.8326904532304725
12,11,0.0,0.8326904532304725
12,12,0.0,0.8326904532304725
12,13,0.0,0.8326904532304725
12,14,0.0,0.8326904532304725
12,15,0.0,0.8326904532304725
12,16,0.0,0.8326904532304725
12,17,0.0,0.8326904532304725
12,18,0.0,0.8326904532304725
12,19,0.0,0.8326904532304725
12,20,0.0,0.8326904532304725
12,21,0.0,0.8326904532304725
12,22,0.0,0.8326904532304725
12,23,0.0,0.8326904532304725
12,24,0.0,0.8326904532304725
12,25,0.0,0.8326904532304725
12,26,0.0,0.8326904532304725
12,27,0.0,0.8326904532304725
12,28,0.0,0.8326904532304725
12,29,0.0,0.8326904532304725
12,30,0.0,0.8326904532304725
13,1,0.0,0.8355834136933462
13,2,0.0,0.8355834136933462
13,3,0.0,0.8355834136933462
13,4,0.0,0.8355834136933462
13,5,0.0,0.8355834136933462
13,6,0.0,0.8355834136933462
13,7,0.0,0.8355834136933462
13,8,0.0,0.8355834136933462
13,9,0.0,0.8355834136933462
13,10,0.0,0.8355834136933462
13,11,0.0,0.8355834136933462
13,12,0.0,0.8355834136933462
13,13,0.0,0.8355834136933462
13,14,0.0,0.8355834136933462
13,15,0.0,0.8355834136933462
13,16,0.0,0.8355834136933462
13,17,0.0,0.8355834136933462
13,18,0.0,0.8355834136933462
13,19,0.0,0.8355834136933462
13,20,0.0,0.8355834136933462
13,21,0.0,0.8355834136933462
13,22,0.0,0.8355834136933462
13,23,0.0,0.8355834136933462
13,24,0.0,0.8355834136933462
13,25,0.0,0.8355834136933462
13,26,0.0,0.8355834136933462
13,27,0.0,0.8355834136933462
13,28,0.0,0.8355834136933462
13,29,0.0,0.8355834136933462
13,30,0.0,0.8355834136933462
14,1,0.0,0.8220829315332691
14,2,0.0,0.8220829315332691
14,3,0.0,0.8220829315332691
14,4,0.0,0.8220829315332691
14,5,0.0,0.8220829315332691
14,6,0.0,0.8220829315332691
14,7,0.0,0.8220829315332691
14,8,0.0,0.8220829315332691
14,9,0.0,0.8220829315332691
14,10,0.0,0.8220829315332691
14,11,0.0,0.8220829315332691
14,12,0.0,0.8220829315332691
14,13,0.0,0.8220829315332691
14,14,0.0,0.8220829315332691
14,15,0.0,0.8220829315332691
14,16,0.0,0.8220829315332691
14,17,0.0,0.8220829315332691
14,18,0.0,0.8220829315332691
14,19,0.0,0.8220829315332691
14,20,0.0,0.8220829315332691
14,21,0.0,0.8220829315332691
14,22,0.0,0.8220829315332691
14,23,0.0,0.8220829315332691
14,24,0.0,0.8220829315332691
14,25,0.0,0.8220829315332691
14,26,0.0,0.8220829315332691
14,27,0.0,0.8220829315332691
14,28,0.0,0.8220829315332691
14,29,0.0,0.8220829315332691
14,30,0.0,0.8220829315332691
15,1,0.0005520732883317205,0.8514946962391514
15,2,0.0021841851494696276,0.8514946962391514
15,3,0.0015621986499517872,0.8514946962391514
15,4,-0.0013645130183220875,0.8514946962391514
15,5,-0.0025650916104146557,0.8514946962391514
