round,v0,vN,gain,truncated,warmup,phi_min,phi_max,phi_abs_mean,weight_min,weight_max,weight_ratio
30,0.8707810993249759,0.8645130183220829,-0.006268081002893,0,0,-0.011007714561234345,0.006538090646094493,0.0032449373191899703,0.019049322002570562,0.04580172576595224,2.40437563918399
31,0.8683702989392478,0.8722275795564127,0.0038572806171649487,0,0,-0.008847637415621981,0.006022179363548706,0.002575056252009,0.020998897274481572,0.044166243013467096,2.1032648732054664
32,0.8736740597878495,0.873191899710704,-0.00048216007714552145,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
33,0.873191899710704,0.8722275795564127,-0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
34,0.8722275795564127,0.8741562198649951,0.0019286403085824189,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
35,0.8741562198649951,0.8765670202507232,0.0024108003857280513,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
36,0.8765670202507232,0.8799421407907425,0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
37,0.8799421407907425,0.8775313404050145,-0.0024108003857280513,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
38,0.8775313404050145,0.8770491803278688,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
39,0.8770491803278688,0.8780135004821601,0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
40,0.8780135004821601,0.875602700096432,-0.0024108003857280513,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
41,0.875602700096432,0.8828351012536162,0.007232401157184154,0,0,-0.011287367405978787,0.007131147540983602,0.0022806171648987465,0.018490213737525893,0.046440287718930266,2.5116144344334805
42,0.8833172613307618,0.8828351012536162,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
43,0.8828351012536162,0.8891031822565092,0.006268081002893,0,0,-0.01243490838958534,0.004913211186113795,0.001978142076502732,0.017523104558095255,0.041717731297504404,2.3807271798895826
44,0.8881388621022179,0.8847637415621986,-0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
45,0.8847637415621986,0.8857280617164899,0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
46,0.8857280617164899,0.8871745419479267,0.0014464802314367864,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
47,0.8871745419479267,0.8886210221793636,0.0014464802314368974,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
48,0.8886210221793636,0.8881388621022179,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
49,0.8881388621022179,0.8866923818707811,-0.0014464802314367864,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
50,0.8866923818707811,0.8871745419479267,0.00048216007714552145,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
