round,v0,vN,gain,truncated,warmup,phi_min,phi_max,phi_abs_mean,weight_min,weight_max,weight_ratio
15,0.8216007714561234,0.8514946962391514,0.029893924783027992,0,0,-0.014575699132111862,0.017326422372227576,0.004440533590485375,0.014601695821709509,0.07196959580597695,4.9288518734224
16,0.8582449373191899,0.8582449373191899,0.0,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
17,0.8582449373191899,0.8162970106075217,-0.04194792671166825,0,0,-0.019373191899710693,0.005397782063645132,0.0039930890388942455,0.01314421750077741,0.04535546272460276,3.4506019640895493
18,0.837029893924783,0.8360655737704918,-0.0009643201542911539,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
19,0.8360655737704918,0.8505303760848602,0.014464802314368308,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
20,0.8505303760848602,0.8654773384763742,0.014946962391514051,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
21,0.8654773384763742,0.840887174541948,-0.024590163934426257,0,0,-0.011661041465766641,0.008230472516875606,0.004690292510446801,0.018644469254063253,0.0504067576526448,2.70357696782704
22,0.8563162970106075,0.8625843780135005,0.006268081002893,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
23,0.8625843780135005,0.8659594985535197,0.0033751205400192053,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
24,0.8659594985535197,0.8567984570877532,-0.009161041465766573,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
25,0.8567984570877532,0.866923818707811,0.010125361620057838,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
26,0.866923818707811,0.8688524590163934,0.0019286403085824189,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
27,0.8688524590163934,0.8707810993249759,0.0019286403085825299,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
28,0.8707810993249759,0.8678881388621023,-0.002892960462873684,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
29,0.8678881388621023,0.8712632594021215,0.0033751205400192053,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
30,0.8712632594021215,0.8659594985535197,-0.005303760848601735,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
31,0.8659594985535197,0.8727097396335584,0.0067502410800386325,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
32,0.8727097396335584,0.873191899710704,0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
33,0.873191899710704,0.873191899710704,0.0,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
34,0.873191899710704,0.875602700096432,0.0024108003857280513,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
35,0.875602700096432,0.8770491803278688,0.0014464802314367864,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
36,0.8770491803278688,0.8804243008678881,0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
37,0.8804243008678881,0.8775313404050145,-0.002892960462873684,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
38,0.8775313404050145,0.8765670202507232,-0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
39,0.8765670202507232,0.8775313404050145,0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
40,0.8775313404050145,0.8751205400192864,-0.0024108003857280513,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
41,0.8751205400192864,0.8828351012536162,0.0077145612343297865,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
42,0.8828351012536162,0.8823529411764706,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
43,0.8823529411764706,0.8891031822565092,0.0067502410800386325,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
44,0.8891031822565092,0.8852459016393442,-0.0038572806171649487,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
45,0.8852459016393442,0.8857280617164899,0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
46,0.8857280617164899,0.8866923818707811,0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
47,0.8866923818707811,0.8886210221793636,0.0019286403085824189,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
48,0.8886210221793636,0.8881388621022179,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
49,0.8881388621022179,0.8871745419479267,-0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
50,0.8871745419479267,0.8876567020250723,0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
