alpha,round,truncated,gain,phi_min,phi_max
0.1,41,0,-0.015429122468659573,-0.025713596914175484,0.026453712632594027
0.1,42,0,-0.039054966248794565,-0.03170925747348122,0.028500482160077126
0.1,43,0,-0.034715525554484095,-0.02411523625843781,0.025224204435872716
0.1,44,0,-0.043394406943105035,-0.023611378977820636,0.02290019286403085
0.1,45,0,-0.03326904532304731,-0.029807135969141772,0.027516875602700122
0.1,46,0,-0.037126325940212146,-0.038968177434908394,0.030130183220829304
0.1,47,0,-0.037126325940212146,-0.03768804243008682,0.02506509161041467
0.1,48,0,-0.025072324011571778,-0.03655737704918032,0.02795805207328838
0.1,49,0,-0.02507232401157189,-0.03434667309546768,0.028789778206364514
0.1,50,0,-0.05110896817743493,-0.02474927675988427,0.02217213114754099
0.5,1,0,0.3919961427193829,-0.013148505303760844,0.0669214079074253
0.5,2,0,0.13018322082931533,-0.022446962391513975,0.060776277724204436
0.5,3,0,0.047733847637415616,-0.02057135969141754,0.04054484088717454
0.5,4,0,0.013500482160077154,-0.022543394406943088,0.052550626808100284
0.5,5,0,0.02314368370298936,-0.013404050144648016,0.03780617164898751
0.5,6,0,-0.022661523625843838,-0.02730472516875604,0.02680568948891033
0.5,7,0,-0.01928640308582441,-0.025050626808100298,0.022331243972999033
0.5,8,1,0.0024108003857280513,0.0,0.0
0.5,9,0,-0.010125361620057838,-0.024250241080038572,0.020694310511089692
0.5,10,0,-0.025554484088717522,-0.021014946962391538,0.02835101253616203
0.5,11,0,-0.004821600771456103,-0.015969141755062703,0.026460945033751203
0.5,12,0,-0.02941176470588225,-0.028126808100289273,0.028681292189006762
0.5,13,0,-0.01494696239151394,-0.030530376084860193,0.025142237222757942
0.5,14,0,-0.016393442622950838,-0.028625843780135017,0.022536162005785912
0.5,15,1,0.00048216007714563247,0.0,0.0
0.5,16,0,-0.012054001928640257,-0.02849324975891996,0.02295081967213114
0.5,17,1,0.0019286403085824189,0.0,0.0
0.5,18,0,-0.011089681774349103,-0.029701060752169727,0.025016875602700103
0.5,19,1,0.0024108003857280513,0.0,0.0
0.5,20,1,-0.0019286403085824189,0.0,0.0
0.5,21,1,0.0014464802314367864,0.0,0.0
0.5,22,0,0.00433944069431047,-0.01879701060752171,0.021169238187078113
0.5,23,0,-0.005303760848601735,-0.023148505303760843,0.013606557377049177
0.5,24,0,-0.004339440694310581,-0.024028447444551588,0.015445998071359702
0.5,25,0,-0.005785920925747257,-0.026598360655737716,0.012832690453230489
0.5,26,0,-0.0038572806171648377,-0.022051591128254586,0.016405496624879473
0.5,27,1,-0.00048216007714563247,0.0,0.0
0.5,28,1,0.00048216007714563247,0.0,0.0
0.5,29,1,-0.002892960462873684,0.0,0.0
0.5,30,0,0.0077145612343297865,-0.01790983606557378,0.017688042430086776
0.5,31,1,0.0014464802314368974,0.0,0.0
0.5,32,0,-0.005303760848601735,-0.023917550626808115,0.014230954676952758
0.5,33,1,0.00048216007714563247,0.0,0.0
0.5,34,0,0.009161041465766684,-0.018833172613307636,0.017830279652844762
0.5,35,1,0.00048216007714563247,0.0,0.0
0.5,36,0,-0.007232401157184265,-0.02211909353905496,0.013563162970106074
0.5,37,0,-0.004821600771456214,-0.02101253616200579,0.015053037608486013
0.5,38,0,-0.007232401157184265,-0.020426711668273846,0.010443587270973956
0.5,39,1,-0.0019286403085825299,0.0,0.0
0.5,40,0,-0.00433944069431047,-0.02099083895853423,0.015359209257473484
0.5,41,1,-0.0033751205400192053,0.0,0.0
0.5,42,1,0.0024108003857280513,0.0,0.0
0.5,43,1,0.0033751205400193163,0.0,0.0
0.5,44,1,-0.0009643201542912649,0.0,0.0
0.5,45,0,-0.005785920925747368,-0.02047733847637416,0.009281581485053045
0.5,46,1,0.00048216007714563247,0.0,0.0
0.5,47,1,0.0,0.0,0.0
